question_id,entropy,pmax,margin,correct,correct_answer,SelfProb,OtherProb,question_text,gap_abs,gap_signed,direction
sqa_test_009ba615d1362b1de5daaf5123d96e9b1d023a5fe1d0a977a6c3fa89618edd7e,0.0009646263156224774,0.9999136330206991,0.9998621925793195,1.0,C,0.23916873089289728,0.07503370400967542,,0.16413502688322185,0.16413502688322185,Self>Other
sqa_test_010d5323ff33865209928b02bcdfc54158092c35b5f30f40b2ea1b5f3aa56c8f,0.0007937701707146553,0.9999281988297958,0.9998699083379425,1.0,A,0.41943077883047786,0.11620984632619419,,0.30322093250428367,0.30322093250428367,Self>Other
sqa_test_0163e7d03c561f73f214dd8e465349d500bf60a7a6a3d8e9e3a7d0d614ccf4bb,0.0005154915353203003,0.9999535149826188,0.9999081171741455,0.0,B,0.30027698528061736,0.08253337928619396,,0.21774360599442338,0.21774360599442338,Self>Other
sqa_test_01aa87b4450dfc9d2b0d049501c256442bfc29cabf070dd524a31ff29e9c0840,0.4820930239403208,0.8168344328840111,0.6345740404916329,0.0,B,0.03298313334731182,0.03845494917431573,,0.005471815827003908,-0.005471815827003908,Other>Self
sqa_test_0227098556a959b5231dd6baed0245081c786753058d7a0cf8dbebac2c8152da,3.3155359097999256e-06,0.9999998016639262,0.9999996161247825,0.0,A,0.9496969880110993,0.30288466776100637,,0.6468123202500928,0.6468123202500928,Self>Other
sqa_test_02f4ed9255acfd91b0600e4f5cdb78a88146b3c5a3b38c4f2efeae04d7f621f0,0.5389369259337781,0.7764468131972722,0.5539910767094457,1.0,A,0.03445816714822856,0.07410207248954025,,0.03964390534131169,-0.03964390534131169,Other>Self
sqa_test_02fa00a17c617b0d7d5b82afcc1adf3c61477e1f9ca98540fb3ac2c397507f72,0.7263562682931601,0.5577027722823323,0.12336341650775856,1.0,D,0.30872028878889357,0.07530734228818886,,0.2334129465007047,0.2334129465007047,Self>Other
sqa_test_03922247bb6b34c880c5d234b20020f4e5a29263211910d0c17c580c0e417266,0.3862102320842185,0.8990300125585754,0.825233135214861,0.0,D,0.29828434709959123,0.0757262435369649,,0.22255810356262634,0.22255810356262634,Self>Other
sqa_test_051c3cddbf9d6e40c5d1403ee7809fda8ce4fbe6b69f6d90bc4f2728f9802bd5,0.549797083942129,0.7750492005655792,0.5529938801831211,1.0,D,0.30084242026685726,0.07504322395819749,,0.22579919630865977,0.22579919630865977,Self>Other
sqa_test_05ee2f2b4870aceac22826fc49771cc14f9db805821a82fac5c031c75dbd8b6a,0.07435161462114179,0.9859000649378074,0.9718369554470101,0.0,D,0.30215608945022204,0.07501014445953057,,0.22714594499069146,0.22714594499069146,Self>Other
sqa_test_062f83bd3892166ca91c052fe43d1f9fe8bbfb9870ddc44144001c35d20aa1dd,0.29943259837638886,0.9308056586393452,0.884463569532168,0.0,A,0.38733477882621725,0.0862739850984997,,0.30106079372771755,0.30106079372771755,Self>Other
sqa_test_0650b67961ce5adb190da1794a402eba6e3728cd0f7f516a9d292580da1bbbd3,0.042874468420384025,0.9930136076978394,0.9863227343593894,0.0,D,0.3635832283053317,0.10224056429217732,,0.26134266401315437,0.26134266401315437,Self>Other
sqa_test_06c8bafadff1502c95177fbbb80130e70a36b0cdf7261e434cc7879d779c3b75,0.06051222333399391,0.9890115261788008,0.978024600507037,0.0,B,0.17950569804221914,0.06157046943992972,,0.11793522860228942,0.11793522860228942,Self>Other
sqa_test_07823f9d8817d103feb3c0c70d26c47ab7378bff76a662a09983999371e047ab,0.0015840330503266564,0.9998497808761653,0.9997408885066628,0.0,B,0.30506131374812323,0.15252740452736174,,0.1525339092207615,0.1525339092207615,Self>Other
sqa_test_0919f910a6ce6a69da8cafc52fa63aa9dc3c2dda495fbde2bc72755d4ea31f1d,0.00035773612684320786,0.9999686340487086,0.999937432146168,0.0,A,0.7199198311686729,0.1399589513977232,,0.5799608797709497,0.5799608797709497,Self>Other
sqa_test_0997202e457f1ccc6189c0b4624735021e2073cfd9d584c0f00de835b6f288cc,0.22062596397006604,0.9483824537469614,0.9011652692208109,0.0,A,0.2562703638919218,0.0344408741001001,,0.2218294897918217,0.2218294897918217,Self>Other
sqa_test_0a4c35e7735d618d992179a3425a852e4510f637973fb8fc6a8027f0658c22a9,0.009147984579738115,0.9988241224993899,0.9976546199417469,1.0,B,0.3563187000379245,0.07388659394447203,,0.2824321060934525,0.2824321060934525,Self>Other
sqa_test_0b19f4d846bfa06ce4ab25292b9ec9a914e8113f8dfffbf550242ffa31eb9c70,0.4707906536512545,0.8723916815434792,0.8007814147657104,0.0,A,0.3024196286200308,0.15114225788219818,,0.15127737073783262,0.15127737073783262,Self>Other
sqa_test_0be78447e3ea0ea3020ebc56ecd5e6807fe34b9f6a7bb1995afe68d29cdf41bc,0.5846588077379399,0.730866710077025,0.46199588922902873,0.0,B,0.025717891015580592,0.029808779318799397,,0.004090888303218805,-0.004090888303218805,Other>Self
sqa_test_0ea1af26e64ab27f3b890c31e3070604d3ac7b5462bb208997b63f16f7957a61,0.09994627639820886,0.9824628121783194,0.9715486371950113,0.0,C,0.30273431766947195,0.07943742163097728,,0.22329689603849467,0.22329689603849467,Self>Other
sqa_test_0f9d85e9f5a3ee7af5ccb6b885a4be9aa1b0b2774b321f2aec6ee99555e10721,3.1883206412188782e-06,0.9999998080826539,0.9999996225435089,1.0,D,0.5546928339658497,0.2664311934558218,,0.2882616405100279,0.2882616405100279,Self>Other
sqa_test_104c0e5526f9e0135cf80fe8428f3d0a2bc32ad026a28a107e2ecd976346bc4e,0.003914793320386975,0.999583952946262,0.9992486297557462,0.0,B,0.29818220788348154,0.07462132903952212,,0.22356087884395942,0.22356087884395942,Self>Other
sqa_test_10f76735391f41160a7cd48281a1fdb0e04af1e5a47e0e2ffc160abf48b35f10,0.6292035210265178,0.7758053138423799,0.5796510235590052,0.0,D,0.5478388044502219,0.028794008916854377,,0.5190447955333676,0.5190447955333676,Self>Other
sqa_test_110f739da429f9568c2420d40b078c0cc571df2eccf431acd7faee8beb0776e6,0.00012667812680313762,0.9999898675245711,0.9999797375372387,0.0,C,0.941348356564358,0.0756754121766794,,0.8656729443876786,0.8656729443876786,Self>Other
sqa_test_1166e036dc56b0824480482e0da72990fe94dcbbcf6804336812e0260caa9711,0.03419980511963157,0.9946211151244101,0.989401823285733,0.0,A,0.4649740565987816,0.18161104992048696,,0.2833630066782946,0.2833630066782946,Self>Other
sqa_test_11fa323ade73b2738854db758b7d2f891c2b30eaf25628ad8578f73093a6dafd,0.313887242499495,0.9234716888558752,0.8644361167031265,1.0,C,0.2996219048446394,0.07502819741467173,,0.22459370742996768,0.22459370742996768,Self>Other
sqa_test_1215fa2d1ee9186c75c96c26d6adc91f1eb4282d00d28092fdd2fa3d14ab9200,0.1352547715699531,0.970370780887051,0.9410681209902787,1.0,C,0.3517655069602945,0.12845480775114088,,0.22331069920915364,0.22331069920915364,Self>Other
sqa_test_1268491ba4c601a4db258eb69259916033dba5ae9a15e9193170a4376525adf2,0.35141121248988855,0.90978728993434,0.8351074064997157,0.0,A,0.42169533059606135,0.14978559918470438,,0.271909731411357,0.271909731411357,Self>Other
sqa_test_127c45a6feaccb8a4e88692ab4d675438c49527bf5813b3e9f0620b1b9a7c364,0.3686419997862631,0.8962544745315112,0.8017899486096043,1.0,A,0.09047431801502998,0.02977318913956975,,0.060701128875460225,0.060701128875460225,Self>Other
sqa_test_12c48ea9cf2ec0e183d874b9efae0c9e8f202faece7368fe65cebb7781334310,0.1470573790351471,0.966745854945066,0.9336656342305457,0.0,D,0.2992267910034463,0.07504242429312218,,0.2241843667103241,0.2241843667103241,Self>Other
sqa_test_131eb2d647fa8b1ff39db9a81dae557da7513ca3ac7a17881556f475d67964cf,0.001227247432867331,0.9998816722336435,0.9997727763255218,1.0,B,0.45317856671988865,0.19830724058354987,,0.2548713261363388,0.2548713261363388,Self>Other
sqa_test_1351aaf9eb3a88bf7a88b6bb17056273f7e1f3f5ac8e55fd6ffa05e37fb00a36,0.00047073839185720104,0.999959360671758,0.9999240046204861,1.0,D,0.2993255777091192,0.13687423378252106,,0.16245134392659816,0.16245134392659816,Self>Other
sqa_test_145bb1a181fb6b78731a2d0813ca3dd311cc891ff024a9dbce32fc593cf47295,0.0012358537405579636,0.9998764982452487,0.9997531036245911,0.0,C,0.2885985923658224,0.0797706704241438,,0.2088279219416786,0.2088279219416786,Self>Other
sqa_test_14867044fb3a7f62358e07faf0f1b77d44634f06116fe540de7df05a8f052881,0.7083954006287336,0.4989139489150174,0.0,0.0,C,0.29750435988375984,0.07630377944535534,,0.22120058043840451,0.22120058043840451,Self>Other
sqa_test_14f1e3c9173010d1f2e2860572073d00233a7372b23dae5213450c74e6e36f2c,0.05368616524039439,0.991975065120367,0.9867696571086295,1.0,B,0.2995434510296383,0.07500768037754549,,0.22453577065209282,0.22453577065209282,Self>Other
sqa_test_153bac807d7c90afc99619e3d09b2e7e0e2de0f855b8fbab2e3c1ca46ebeefff,0.009169589153884938,0.9988224786735782,0.9976529779034199,1.0,C,0.7268960230023338,0.16199161007125282,,0.564904412931081,0.564904412931081,Self>Other
