question_id,SelfProb,OtherProb,gap_abs,gap_signed,direction,pmax,margin,correct,entropy,correct_answer,question_text
sqa_test_009ba615d1362b1de5daaf5123d96e9b1d023a5fe1d0a977a6c3fa89618edd7e,0.06284322579690124,0.025015286343565053,0.03782793945333619,0.03782793945333619,Self>Other,0.9912705678256339,0.9826943986303799,1.0,0.05092645843699382,C,
sqa_test_0163e7d03c561f73f214dd8e465349d500bf60a7a6a3d8e9e3a7d0d614ccf4bb,0.0904343205840226,0.0397344007738983,0.050699919810124304,0.050699919810124304,Self>Other,0.6430332697507328,0.4804489164457967,1.0,1.0137550513578986,B,
sqa_test_02f4ed9255acfd91b0600e4f5cdb78a88146b3c5a3b38c4f2efeae04d7f621f0,0.02630525975367326,0.02500734523865705,0.001297914515016211,0.001297914515016211,Self>Other,0.8911277634319065,0.7846977303333162,1.0,0.35706748011191214,A,
sqa_test_02fa00a17c617b0d7d5b82afcc1adf3c61477e1f9ca98540fb3ac2c397507f72,0.0776900574257415,0.06033990091313479,0.017350156512606713,0.017350156512606713,Self>Other,0.7444043351928342,0.5978224348892299,0.0,0.7720680039600613,D,
sqa_test_051c3cddbf9d6e40c5d1403ee7809fda8ce4fbe6b69f6d90bc4f2728f9802bd5,0.07408693534627121,0.025180761680415553,0.04890617366585566,0.04890617366585566,Self>Other,0.6348929710517794,0.33499075801876727,1.0,0.8708474791585783,D,
sqa_test_05ee2f2b4870aceac22826fc49771cc14f9db805821a82fac5c031c75dbd8b6a,0.07078622221803305,0.02504571778106993,0.04574050443696312,0.04574050443696312,Self>Other,0.9335341562259049,0.8870562252884242,0.0,0.2961727376545136,D,
sqa_test_062f83bd3892166ca91c052fe43d1f9fe8bbfb9870ddc44144001c35d20aa1dd,0.07728249269767087,0.0332278933342615,0.04405459936340937,0.04405459936340937,Self>Other,0.8130306531774748,0.7374070177520401,1.0,0.6778302108977624,A,
sqa_test_0650b67961ce5adb190da1794a402eba6e3728cd0f7f516a9d292580da1bbbd3,0.07202003883434403,0.025905491386439466,0.046114547447904566,0.046114547447904566,Self>Other,0.9574596853401158,0.9349423916251456,0.0,0.2191884338304338,D,
sqa_test_06c8bafadff1502c95177fbbb80130e70a36b0cdf7261e434cc7879d779c3b75,0.0638819107528889,0.025379339330465087,0.03850257142242382,0.03850257142242382,Self>Other,0.7229251311293361,0.45697582202887066,0.0,0.6444630746278265,B,
sqa_test_07823f9d8817d103feb3c0c70d26c47ab7378bff76a662a09983999371e047ab,0.06966108236155268,0.026875307607792706,0.04278577475375997,0.04278577475375997,Self>Other,0.5572604690614359,0.3522557991161791,0.0,1.1529266296576774,B,
sqa_test_0919f910a6ce6a69da8cafc52fa63aa9dc3c2dda495fbde2bc72755d4ea31f1d,0.11995897593171276,0.07167584357702074,0.04828313235469202,0.04828313235469202,Self>Other,0.8623414969233665,0.791556203718563,0.0,0.5424050981021176,A,
sqa_test_0a4c35e7735d618d992179a3425a852e4510f637973fb8fc6a8027f0658c22a9,0.06781037406707957,0.02500563446417161,0.04280473960290796,0.04280473960290796,Self>Other,0.9983415212825616,0.9973099373683936,0.0,0.013603161397921356,B,
sqa_test_0b19f4d846bfa06ce4ab25292b9ec9a914e8113f8dfffbf550242ffa31eb9c70,0.07308602769757737,0.02710778496563159,0.04597824273194578,0.04597824273194578,Self>Other,0.9892434383777378,0.982577967465446,0.0,0.06916172422684835,A,
sqa_test_0be78447e3ea0ea3020ebc56ecd5e6807fe34b9f6a7bb1995afe68d29cdf41bc,0.025206387314037997,0.025013528501071167,0.00019285881296682988,0.00019285881296682988,Self>Other,0.9637538659639607,0.9410885457877761,1.0,0.18440936290228596,B,
sqa_test_0ea1af26e64ab27f3b890c31e3070604d3ac7b5462bb208997b63f16f7957a61,0.08945754656156758,0.03101593270629707,0.05844161385527051,0.05844161385527051,Self>Other,0.8692596434475326,0.7516181328774336,1.0,0.43307764477261756,C,
sqa_test_104c0e5526f9e0135cf80fe8428f3d0a2bc32ad026a28a107e2ecd976346bc4e,0.029860331114198776,0.025141003173540642,0.004719327940658134,0.004719327940658134,Self>Other,0.7579788116818392,0.6417389892187794,0.0,0.7547434210827374,B,
sqa_test_10f76735391f41160a7cd48281a1fdb0e04af1e5a47e0e2ffc160abf48b35f10,0.025903572394564006,0.025096709956945882,0.0008068624376181242,0.0008068624376181242,Self>Other,0.9556267405233266,0.9331525547111671,0.0,0.22687103826703578,D,
sqa_test_1166e036dc56b0824480482e0da72990fe94dcbbcf6804336812e0260caa9711,0.08994415243686044,0.0765259827654288,0.01341816967143164,0.01341816967143164,Self>Other,0.9276990968979527,0.8815116830094886,1.0,0.31851684207282993,A,
sqa_test_1215fa2d1ee9186c75c96c26d6adc91f1eb4282d00d28092fdd2fa3d14ab9200,0.11656821048854697,0.0909451001106669,0.02562311037788008,0.02562311037788008,Self>Other,0.9989304959698433,0.99801958948057,1.0,0.008917949445152916,C,
sqa_test_1268491ba4c601a4db258eb69259916033dba5ae9a15e9193170a4376525adf2,0.09113081075257232,0.03249700692024192,0.0586338038323304,0.0586338038323304,Self>Other,0.991852561104404,0.986647797103022,1.0,0.05394856442087807,A,
sqa_test_127c45a6feaccb8a4e88692ab4d675438c49527bf5813b3e9f0620b1b9a7c364,0.025234182431002606,0.02500250622610606,0.00023167620489654428,0.00023167620489654428,Self>Other,0.9879763901500058,0.979428721106873,1.0,0.07343028337291933,A,
sqa_test_131eb2d647fa8b1ff39db9a81dae557da7513ca3ac7a17881556f475d67964cf,0.1111962675207885,0.07554095041157861,0.03565531710920988,0.03565531710920988,Self>Other,0.9994613938767806,0.9990814695788178,1.0,0.005002964464770239,B,
sqa_test_14867044fb3a7f62358e07faf0f1b77d44634f06116fe540de7df05a8f052881,0.02749873149197871,0.025996771385918813,0.001501960106059897,0.001501960106059897,Self>Other,0.9455791990017611,0.9203803653863627,1.0,0.2686549316031176,C,
sqa_test_153bac807d7c90afc99619e3d09b2e7e0e2de0f855b8fbab2e3c1ca46ebeefff,0.16059582674334005,0.07937612314638486,0.0812197035969552,0.0812197035969552,Self>Other,0.9782979650880436,0.9603798123666553,1.0,0.11556885560580428,C,
sqa_test_155028f403d247eb7cac8f81c0106f9fd143db2725e6628bf3d1473422594421,0.06096722520346738,0.04391355764704563,0.01705366755642175,0.01705366755642175,Self>Other,0.5624538881946165,0.17588536102416047,0.0,0.8765929400964576,D,
sqa_test_15538d546d7e36a62e309334857fcff86ef517794614c4a27332091d494b8ec3,0.12748815528113427,0.07541102365500416,0.05207713162613012,0.05207713162613012,Self>Other,0.9913489589907435,0.9837799178218103,1.0,0.053451015856093013,B,
sqa_test_159d9448f64aa9e7a3deae7a1a46f1e59b029b1c8cba82fdf588697b3b370f52,0.02801423104620964,0.02502454641255349,0.0029896846336561513,0.0029896846336561513,Self>Other,0.8857428992844993,0.8357726998463011,0.0,0.4677135835228581,B,
sqa_test_15bc7b9ba95e2904e7434586de3e2bf03b9e89328c97b4b4b82075f06adc81e6,0.08775715180017396,0.07487072342839596,0.012886428371778003,0.012886428371778003,Self>Other,0.949962194897939,0.9174562752736535,1.0,0.24315288573288232,C,
sqa_test_164b44c3693dc77003947fc33061b02f042e09586c3bdce4380178a0448b3ac0,0.13300351262725105,0.07605755228305937,0.05694596034419168,0.05694596034419168,Self>Other,0.7998144746318714,0.6608275572752786,1.0,0.6512595494435622,A,
sqa_test_176d27456f273f7d425ca2303859c1c5cbde35918e88d84cae85535e13e6ef22,0.07902316971020039,0.07217780458030605,0.006845365129894337,0.006845365129894337,Self>Other,0.8988798705662632,0.8414164046717446,1.0,0.4104234257367486,D,
sqa_test_17a49c6117aa8b83f2280eec0a3249eea7d2bee31c638f2c44f0758ea5b90d0e,0.07416496974775118,0.02977231629165866,0.044392653456092515,0.044392653456092515,Self>Other,0.655262001873905,0.34573816735561097,0.0,0.7745432215391963,A,
sqa_test_17eb7a6d8a1cad6f23e032cc5b214a794c4e9b8ae3135cdbaff2ae050edb228b,0.07832546885853543,0.06823924643704768,0.010086222421487753,0.010086222421487753,Self>Other,0.9308804516159096,0.8783637678485285,1.0,0.2995216278560014,C,
