pair_id,answer_letter,easy_qid,easy_pmax,easy_margin,easy_entropy,easy_correct,easy_question,hard_qid,hard_pmax,hard_margin,hard_entropy,hard_correct,hard_question
eh_A_000,A,sqa_test_fcfba6f3e0f42b43e146ca4066db9b84d049661c70cc17d09ad100738eef850a,0.9999993438673284,0.999998951081372,1.0522260839547575e-05,1,,sqa_test_4d2468c871bb288e79d73987ccaee18c81caab33dd3e8fdee5abc9630211c08a,0.29115906553377585,0.042509775569480435,1.3070880972064558,0,
eh_A_001,A,sqa_test_9d6461c01ef5e4a76979b171cd5f30c6219297d9bb191f4e0959becc6e88d336,0.99999915512492,0.9999987100400991,1.3400792069420383e-05,1,,sqa_test_a30122d3bc8643e0ac49baceb1ae7e45586961b30f816094c4fc679a3dac8192,0.31828968051251794,0.0,1.347799708974374,0,
eh_A_002,A,sqa_test_9c3622002ffb16bca0b7e7f371c899e33aee1fd0cf1d0e96e6f0d6b37a82b622,0.9999871067099374,0.9999769767505726,0.00016664992135190102,1,,sqa_test_ed594c5e4f0f0a872bee222b47cc69eb17112e6ccd106227ab6ff2feb69dd254,0.35775728025537384,0.04203758855291734,1.1446421081716887,0,
eh_A_003,A,sqa_test_9f39ae61ecf154463c66f2352eaaeb094936617e9665e6c00c977231e1df1400,0.9999706050052575,0.9999430693587887,0.00034388556764975537,1,,sqa_test_1984659f182697f6dd5382ae3be5592b54e45c49729e4236d81da3f7a4a0ec3c,0.3739715375799952,0.13134673312159606,0.7323446704023483,1,
eh_B_000,B,sqa_test_f8ed4c657cf25c8582e23bfbf82e52d7b83558f3db7cbff84cc7eda43c170f36,0.9999999647568808,0.9999999495269016,6.776795611542114e-07,1,,sqa_test_f68ac58f68c1ff53a0a28cc0779923025f2935e733e88cd5cb6dc328516bbff5,0.2726747138837423,0.009946389175762071,1.3037615193520171,1,
eh_B_001,B,sqa_test_9d7286985a26c4ee2c1e1a3356b2deae6f41fe2d4246ac34be309c3e4ccac196,0.9999999437603797,0.9999999023610049,1.0373749299500171e-06,1,,sqa_test_732df9e41df7706b4b37848ef361893fed5c8158ccae83a2aa57fe6a0f1ebaa5,0.28480850106506217,0.0,1.1745834443756766,1,
eh_B_002,B,sqa_test_d370c9537bcdee79fa11c26172e4a520a2fda9bfd0f4169c6328f547b71fcd8c,0.9999997531512482,0.9999995429078647,4.125549047593067e-06,0,,sqa_test_c5adcd6caf868057ca414374730cbc1086110c482a6c28a4626704fdeb050da0,0.30089870995381435,0.02787695096342835,1.110980247422386,1,
eh_B_003,B,sqa_test_9a550b6b2ceb8121fefdfcf283345374867d0ae0a208301ce9974e84e5e29fd7,0.9999992978821037,0.9999988527972723,1.1287888428660689e-05,1,,sqa_test_a942059e84524ae79db7f26dc77a36199511bf8a5c59e048202ddf78d7d3eae6,0.30310271874915456,0.01580578224031881,1.072298422374853,0,
eh_B_004,B,sqa_test_ab4f2e922d737a009e3368aceec4f64bf577c7a7335eb85c7e6dab7d680c11ba,0.9999740613679933,0.9999593225510979,0.00032321402937483216,1,,sqa_test_01aa87b4450dfc9d2b0d049501c256442bfc29cabf070dd524a31ff29e9c0840,0.3135093525654325,0.06810018322058206,1.1986546188832021,0,
eh_B_005,B,sqa_test_35766a883343437651c02d42efa2dc96909bbba2793596bdf1caeecd02dde32b,0.9999689202836423,0.9999446202076578,0.00037406443900638606,1,,sqa_test_44b268cab25e5d3f36c47cc9e2d4faf464531eaea7bf113d441d1693205afa26,0.31450696881405277,0.04468443912577458,1.1083499668553531,0,
eh_B_006,B,sqa_test_3dd34561876ebf7e37841ffdc986cd3d87db3626558b39502994d7de071da475,0.9999684059206191,0.9999469611796371,0.0003842055790191922,1,,sqa_test_644c31f61052bf3c68774eefb3778ee0a3be0a6abe9ae4bf911ab3f29ccd7391,0.37654155075495815,0.1639242424775586,0.9128806074482483,1,
eh_B_007,B,sqa_test_f255b07c12685251e216805908fed4a801c9bb5b8b83cb8ecf348c73e186a8e3,0.999959595030436,0.9999242389624501,0.0004676480418583132,1,,sqa_test_24164edc4dd52f0703c33fc8b39908d4af044b792715b1e7413b63888f94e848,0.3834795257333775,0.0,1.1596779782737314,1,
eh_B_008,B,sqa_test_9a2eea65cb48b8e7ce6532236545e7ce3d5d0d48762fc6aba5a53299f6915b86,0.9999011512455531,0.9998263068150437,0.0010733644135628483,1,,sqa_test_64be30cb7540b1c36fd5bb852c02689eae63be094d2409966940064cb266b2b3,0.3993599025515597,0.08833807917874031,1.2759701343268328,0,
eh_C_000,C,sqa_test_39ab62c588f4a7721eaab3dc5915ebaf1c1c3c51ebc0267adf6e49810d40c274,0.9999803641345962,0.9999656252265587,0.0002467906292322794,1,,sqa_test_4bddc5ea7beead3483dceab7ce9b722e1d309d9bcad21af4c25da661ca20476e,0.298137205715567,0.04629538788639814,1.2218710143153857,0,
eh_C_001,C,sqa_test_53fcb2403fc6070ba6484e9f175610d40e9e58e251fb70afd8590152ffd02175,0.9998938120536445,0.999835523594414,0.0011819007191656477,1,,sqa_test_3019552f850225dd7ca9b9ffa571582178e3ce3fbd43a6087d0ce07cf966078a,0.3088936322941584,0.036295958566458675,1.352340977023343,0,
eh_C_002,C,sqa_test_98346bc0d022ba0823bd709ec3c59a6486b23f0bb9ee4da1c587a5acb35df035,0.9995147627036985,0.9992843148219774,0.004651768651228543,0,,sqa_test_ced0e41b8a0b0b80adde11a55c399d859a16edfcb97f575d664c6122401a4acc,0.33762049688160123,0.03967145413451606,1.2683523689176164,1,
eh_C_003,C,sqa_test_28cbd1317841e2a14443359a117b343154b9735b3eac075af187bb39c426c338,0.999416128109392,0.9990808613660176,0.005499758362916301,1,,sqa_test_2e33094a0dbc59658530a849dfedf904df4a3852f4cf4e383683de05aef57f7d,0.3439036709088136,0.12032512228002526,1.0839623685571673,0,
eh_C_004,C,sqa_test_27c134ce9b858cc48817767324e69980242dfa1557f2326d0da1e1114c18b2ae,0.9993446290424551,0.9989647492477435,0.006083280943354049,1,,sqa_test_5d2dcdf75b8a0541a7c2732a22b1ff8f67ef71d43388abc4fdbcbec1f441144d,0.35466485410483933,0.10788009727008421,0.9237042846288375,0,
eh_C_005,C,sqa_test_acddb159d86f56aa594c5c78f8fa05ecf756694a2d1a867afd3bb2ee05592c3b,0.9993058861014217,0.9987531855748547,0.006181708788679966,1,,sqa_test_5384d4ae721c7c7bf1fb645a8969c9aaf6b33785dfa52a0db2842a7024412faf,0.38334893865667535,0.16712457697597552,0.8618502848138124,1,
